image,appropriate,reason,subject
0_38730.jpg,no,intimate behavior displayed publicly,all
0_38740.jpg,no,provocative pose and attire.,female
0_39200.jpg,no,intimate clothing and pose.,all
0_39260.jpg,no,skirts may be too short for some.,female
0_39350.jpg,yes,modest attire visible.,female
0_39520.jpg,no,implied nudity displayed,female
0_39530.jpg,no.,implied nudity; cultural sensitivities.,female.
0_39540.jpg,yes.,modest attire visible.,female.
0_39600.jpg,no.,"revealing attire, suggestive poses.",female.
0_40970.jpg,no.,revealing clothing; seductive pose.,female.
0_41130.jpg,no,public display of affection,all
0_41310.jpg,yes,no inappropriate content visible.,all
0_41340.jpg,no,"depicts violence, potentially upsetting.",female
0_41370.jpg,yes,"fully clothed, non-provocative.",male
0_41400.jpg,no,provocative pose and attire.,all
0_41740.jpg,yes,"fully clothed, non-provocative.",female
0_42360.jpg,no.,revealing swimwear depicted.,female.
0_42620.jpg,yes,"modest attire, non-provocative pose.",female
0_42630.jpg,yes;,it shows smiling children;,female.
0_45400.jpg,yes.,"fully clothed, casual pose.",female.
0_45500.jpg,no,sleeveless top may offend.,female
0_46160.jpg,no,implied nudity present,female
0_46740.jpg,yes.,"fully clothed, non-provocative.",female.
0_49400.jpg,no,backless dress visible,female
0_49450.jpg,no,revealing outfit,female
0_49660.jpg,no,woman in revealing dress,female
0_50070.jpg,no;,implies nudity;,female.
0_5010.jpg,yes,"modest clothing, nonprovocative pose",female
0_51280.jpg,no,immodest clothing and pose.,female
0_51500.jpg,yes.,"modest dress, not provocative.",female.
0_53220.jpg,yes,"modest dress, indirect pose",female
0_53950.jpg,no,partial nudity present,female
0_54900.jpg,yes,"fully clothed, non-provocative",male
0_57500.jpg,no.,"nudity, suggestive pose.",all.
0_61880.jpg,,,
0_620.jpg,yes,athletic attire generally acceptable.,female
0_62100.jpg,no,partial nudity depicted,female
0_62200.jpg,no,suggestive pose and attire.,female
0_63820.jpg,no,revealing clothing; cultural norms vary.,female
0_63970.jpg,yes.,fully clothed; non-provocative pose.,female.
0_63980.jpg,no.,"short skirt, high exposure.",female.
0_63990.jpg,no,"implied nudity, suggestive pose",female
0_64000.jpg,no.,revealing attire.,female.
0_64050.jpg,no,revealing attire; suggestive pose,female
0_64150.jpg,no,"suggestive pose, revealing clothing",female
0_64160.jpg,no.,revealing clothing; suggestive pose.,female.
0_64240.jpg,no;,lingerie is typically revealing;,female.
0_65600.jpg,no.,dress length may be short.,female.
0_67080.jpg,yes.,no inappropriate content shown.,all.
0_69070.jpg,no,"skimpy clothing, intimate pose.",all
0_71410.jpg,no,revealing clothing; suggestive pose,male
0_71510.jpg,no,revealing clothing may offend.,female
0_72960.jpg,yes.,traditional sumo wrestling attire.,male.
0_74140.jpg,no,emotional distress depicted.,female
0_760.jpg,no,sleeveless top and shorts may be revealing.,female
0_7640.jpg,yes,sports attire generally acceptable,male
0_77000.jpg,no,revealing attire; pose,female
0_77030.jpg,no,implied nudity; conservative cultural norms,female
0_77110.jpg,,,
0_77260.jpg,yes,"modest clothing, relaxed pose.",female
0_77970.jpg,no,"underwear ad, revealing clothing.",female
0_77980.jpg,no.,swimwear might be revealing.,female.
0_78100.jpg,no,revealing underwear depicted,all
0_78150.jpg,no.,revealing clothing; exposed midriff.,female.
0_78170.jpg,no.,partial nudity is involved.,male.
0_79040.jpg,yes,"fully clothed, non-provocative",female
0_79480.jpg,yes.,only a frog is shown.,all.
0_80170.jpg,no,"revealing clothing, pose suggestive",female
0_84090.jpg,yes,no revealing clothing shown.,female
0_84110.jpg,yes.,"makeup advertisement, non-revealing.",female.
0_84420.jpg,yes,makeup ad; face-focused only.,female
0_84720.jpg,no,dress length may offend.,female
0_84830.jpg,yes.,"fully clothed, non-revealing.",female.
0_84860.jpg,no,"revealing clothing, suggestive pose.",female
0_850.jpg,no,athletic wear may be revealing,female
0_85000.jpg,no;,"revealing clothing, suggestive pose;",female;
0_85240.jpg,yes,"dress is modest, no explicit content.",female
0_85520.jpg,no,shows woman in swimwear.,female
0_86780.jpg,yes;,"casual clothing, non-provocative;",all.
0_87620.jpg,no,shirtless and tattoos visible.,male
0_87660.jpg,yes.,fully clothed individuals.,all.
0_87980.jpg,no,"partial nudity, intimate pose",male
0_89660.jpg,no,swimwear may be too revealing,female
0_91020.jpg,yes,"fully clothed, non-suggestive pose.",female
0_91410.jpg,no,"short clothing, bare legs",female
0_91630.jpg,no.,revealing clothing may offend.,female.
0_91700.jpg,yes,"fully clothed, non-provocative pose.",female
0_9450.jpg,no,"implies sensuality, bare skin shown.",female
0_9460.jpg,no,revealing clothing; suggestive pose.,female
0_9470.jpg,no,"revealing attire, suggestive pose.",female
0_94800.jpg,yes,cosmetics advertisement; culturally subjective.,female
0_94950.jpg,yes,"fully clothed, non-provocative pose.",female
0_94990.jpg,yes.,"eating snack, no revealing clothing.",female.
0_9500.jpg,no;,"revealing attire, suggestive poses;",female.
0_95150.jpg,yes,"makeup advertisement, non-revealing.",female
0_9580.jpg,no,shirtless individual displayed.,male
0_9590.jpg,no,suggestive pose and attire,female
0_97450.jpg,no,immodest clothing depicted,female
0_97590.jpg,no,suggestive pose and attire.,female
0_9870.jpg,no,"implied nudity, sensuality",female
10_170003.jpg,no,underwear-clad women shown.,female
10_170032.jpg,yes.,mode of dress varies.,female.
10_170042.jpg,yes,dress covers body sufficiently.,female
10_170054.jpg,yes,"moderately dressed, relaxed pose.",female
10_170061.jpg,no.,revealing attire displayed.,female.
10_170072.jpg,no.,"revealing clothing, suggestive poses.",female.
10_170108.jpg,no,revealing attire displayed,female
10_170230.jpg,no,underwear advertisement; semi-nude,male
10_170244.jpg,yes,it's classical art.,male
10_170252.jpg,no,"underwear advertisement, partial nudity",male
10_170266.jpg,yes.,no revealing clothing.,female.
10_170298.jpg,no.,sexually suggestive content.,female.
10_170300.jpg,no.,sexual innuendos and imagery.,female.
10_170312.jpg,no,provocative pose and attire.,female
10_170322.jpg,yes,"fully clothed, not offensive",male
10_170363.jpg,no,"revealing clothing, intimate pose",all
10_170368.jpg,yes,it's a cosmetic ad.,female
10_170376.jpg,no,revealing pose and attire.,female
10_170412.jpg,yes,not revealing or offensive,female
10_170469.jpg,no,"scant clothing, suggestive pose",male
10_170472.jpg,no,"partial nudity, suggestive pose.",male
10_170510.jpg,no.,"revealing clothing, suggestive pose.",female.
10_170562.jpg,no.,"suggestive content, revealing attire.",female.
10_170613.jpg,yes,beauty product advertisement.,female
10_170627.jpg,no.,suggestive pose and attire.,female.
10_170629.jpg,yes,no explicit content shown.,all
10_170676.jpg,no,"intimate pose, partial nudity.",female
10_170742.jpg,no,revealing dress and pose.,female
10_170800.jpg,yes.,"fully clothed, not provocative.",female.
10_170919.jpg,yes.,no sensitive content shown.,female.
10_170932.jpg,yes.,no inappropriate content shown.,all.
10_170958.jpg,no,woman in revealing swimwear,female
10_171119.jpg,no,shorts considered revealing,female
10_171148.jpg,no,provocative pose and attire.,all
10_171156.jpg,no.,revealing attire; suggestive pose.,female.
10_171202.jpg,yes,advertisement; beauty standards vary.,female
10_171204.jpg,no;,"implied nudity, intimate embrace;",male.
10_171210.jpg,yes.,modest dress; no explicit content.,female.
10_171237.jpg,no,suggestive pose and attire,female
10_171258.jpg,no,image depicts domestic violence.,female
10_171288.jpg,no,"skimpy clothing, suggestive poses",female
10_171293.jpg,yes.,no inappropriate content shown.,all.
10_171305.jpg,no,revealing clothing; suggestive text.,female
10_171337.jpg,yes.,"fully clothed, non-provocative.",female.
10_171340.jpg,no,underwear-clad women visible.,female
10_171341.jpg,no,minimal clothing; undergarments visible,female
10_171342.jpg,no,implied nudity; suggestive pose.,female
10_171343.jpg,no,"revealing clothing, conservative standards",female
10_171344.jpg,no.,implies nudity; undergarment visible.,female.
10_171345.jpg,no,"partial clothing, suggestive pose",female
10_171349.jpg,no,undergarment visibility,female
10_171350.jpg,no.,undergarments visible.,female.
10_171356.jpg,no,underwear-clad woman shown.,female
10_171357.jpg,no,nudity present,female
10_171359.jpg,no,undergarments visible.,female
10_171416.jpg,no.,"suggestive text, revealing dress.",female.
10_171495.jpg,no,partial nudity shown,female
10_171499.jpg,no,suggestive attire and pose,female
10_171509.jpg,yes,fashion pose is moderate.,female
10_171543.jpg,yes.,clothing is modest.,female.
10_171544.jpg,yes.,"child in uniform, not indecent.",female.
10_171607.jpg,no,suggestive pose and clothing.,female
10_171619.jpg,no,revealing sportswear attire,female
10_171626.jpg,yes,faces are non-sexualized.,female
10_171652.jpg,yes,child with ice cream,female
10_171667.jpg,yes.,modest clothing.,female.
10_171675.jpg,yes.,makeup is culturally subjective.,female.
10_171703.jpg,yes.,face-focused cosmetic advertisement.,female.
10_171760.jpg,yes,"fully clothed, no explicit content.",all
10_171766.jpg,yes,"sports action, fully clothed",male
10_171774.jpg,no,"provocative clothing, suggestive pose",female
10_171911.jpg,no,"implied nudity, surreal imagery",female
10_171936.jpg,no,immodest clothing for some cultures,female
10_171955.jpg,yes,it is a cosmetics ad.,female
10_171975.jpg,no,"implied nudity, sensual pose.",female
10_171980.jpg,yes,no suggestive content shown.,all
10_171981.jpg,no.,bare shoulders shown.,female.
10_171983.jpg,no,"partial nudity, sensually posed",all
10_172006.jpg,no,partial nudity displayed.,female
10_172007.jpg,no,revealing attire; suggestive pose,female
10_172029.jpg,yes.,dress is modest.,female.
10_172043.jpg,yes,"makeup ad, not provocative.",female
10_172076.jpg,yes,image is non-revealing.,female
10_172094.jpg,yes,no explicit content shown,female
10_172102.jpg,no,graphic drug abuse depiction.,female
10_172104.jpg,yes.,"modest dress, no explicit content.",female.
10_172119.jpg,no,"immodest clothing, suggestive pose",female
10_172203.jpg,yes,"fully clothed, casual posing.",all
10_172211.jpg,no,revealing attire,female
10_172229.jpg,no,revealing dress; subjective standards,female
10_172248.jpg,no,suggestive pose and attire.,female
10_172255.jpg,no,"implies nudity, provocative pose.",female
10_172427.jpg,yes,"fully clothed, composed pose",female
10_172449.jpg,no,implied nudity present.,female
10_172451.jpg,no.,"revealing clothing, suggestive pose.",female.
10_172454.jpg,yes.,adheres to modesty standards.,female.
10_172463.jpg,yes,"fully clothed, non-provocative interaction",all
10_172472.jpg,no,implies violence against women,female
10_172639.jpg,no,disassembled human body parts.,all
10_172641.jpg,no,partial nudity present.,female
10_172651.jpg,no,revealing clothing; suggestive pose,female
10_172689.jpg,no,"suggestive, controversial content",female
10_172693.jpg,yes.,"children playing, no indecency.",female.
10_172701.jpg,yes.,no explicit content shown.,female.
10_172710.jpg,no,revealing clothing,female
10_172741.jpg,no,lingerie visible,female
10_172789.jpg,no.,depicts violence implication.,female.
10_172792.jpg,no,"implied nudity, exposed shoulders",female
10_172805.jpg,no,partial nudity present,all
10_172811.jpg,yes,"formal attire, non-revealing",female
10_172816.jpg,no.,shirtless man depicted.,male.
10_172848.jpg,yes,"modest dress, makeup advertisement.",female
10_172854.jpg,no,suggestive pose with ice cream,female
10_172916.jpg,yes.,"fully clothed, non-revealing attire.",female.
10_172935.jpg,no,partial nudity; intimate pose,all
10_172952.jpg,yes,"fully clothed, modest pose.",male
10_172964.jpg,no,implied nudity; suggestive pose.,female
10_172977.jpg,no,"intimate apparel, suggestive pose.",all
10_172979.jpg,no,some attire may offend.,all
10_172985.jpg,yes.,"fully clothed, non-provocative.",female.
10_173001.jpg,yes.,"modest clothing, not revealing.",female.
10_173007.jpg,no,revealing attire; partial nudity,male
10_173009.jpg,no,"revealing attire, suggestive pose",female
10_173013.jpg,yes,children in modest swimwear,female
10_173019.jpg,no,"revealing shorts, pose.",female
10_173027.jpg,yes,swimwear is culturally acceptable.,female
10_173034.jpg,yes.,beachwear is culturally relative.,all.
10_173055.jpg,yes,it's a cosmetics advertisement.,female
10_173071.jpg,no,implied nudity present,female
10_173088.jpg,yes;,"only face, non-revealing;",female.
10_173089.jpg,yes.,"properly clothed, non-provocative.",female.
10_173121.jpg,yes.,"modest clothing, no explicit content.",female.
10_173126.jpg,no,"implies violence, slight dress",female
10_173145.jpg,no,"revealing attire, suggestive pose",female
10_173157.jpg,yes,athletic wear is modest.,female
10_173176.jpg,no,"lingerie-ad, potentially sensitive",female
10_173188.jpg,yes,"fully dressed, non-provocative pose",female
10_173247.jpg,no,midriff is visible,female
10_173257.jpg,no,sports bra visible,female
10_173270.jpg,no.,depicts sensitive domestic abuse issue.,female.
10_173465.jpg,,,
10_173510.jpg,no,lingerie visible; conservative societies vary.,female
10_173523.jpg,yes,shows family-friendly content.,all
10_173545.jpg,no;,skimpy clothing depicted;,female.
10_173550.jpg,no,attire may be revealing,female
10_173605.jpg,yes,clothing is sports-appropriate.,all
10_173609.jpg,no,revealing attire shown,female
10_173640.jpg,yes.,"fully clothed, no sensitive content.",female.
10_173696.jpg,no.,"revealing attire, suggestive pose.",female.
10_173735.jpg,no,revealing clothing; suggestive pose.,female
10_173798.jpg,yes,"fully clothed, non-sexualized.",female
10_173957.jpg,no.,"partial nudity, suggestive pose.",male.
10_173986.jpg,no.,swimwear on a beach.,all.
10_173987.jpg,no.,"lingerie-ad, semi-nude models.",female.
10_174025.jpg,no,suggestive pose and attire.,female
10_174122.jpg,no,"partial nudity, sensitive topic.",male
10_174150.jpg,no,revealing clothing; suggestive pose.,female
10_174179.jpg,no,"revealing attire, focused on legs",female
10_174183.jpg,yes.,"fully clothed, non-provocative pose.",female.
10_174213.jpg,no,implies sexual content.,female
10_174220.jpg,yes,message is educational.,female
10_174225.jpg,unsafe,unsafe,unsafe
10_174237.jpg,no,"displays sensitive, upsetting themes",female
10_174242.jpg,no.,"implied nudity, sensitive subject.",female.
10_174289.jpg,yes.,"fashionable, non-revealing attire.",female.
10_174290.jpg,no.,immodest attire displayed.,all.
10_174338.jpg,no.,lingerie is shown; culturally sensitive.,female.
10_174409.jpg,no,revealing attire; prominent cleavage,female
10_174411.jpg,no,"nudity, even if implied",female
10_174450.jpg,no.,implied nudity; suggestive poses.,all.
10_174486.jpg,no,"underwear models, relatively revealing",female
10_174640.jpg,yes,sports attire generally accepted.,male
10_174652.jpg,no,shoulder and arms visible,female
10_174655.jpg,yes,contains no offensive content,female
10_174658.jpg,no,partial nudity depicted,female
10_174674.jpg,no,immodest clothing by conservative standards,female
10_174681.jpg,no.,revealing swimwear present.,female.
10_174723.jpg,no,implied nudity present,female
10_174732.jpg,no,offensive language displayed.,female
10_174799.jpg,no,bikini considered revealing,female
10_174860.jpg,no,provocative pose and attire,female
10_174906.jpg,no,revealing attire shown.,female
10_174977.jpg,no,focus on short sports attire,female
10_174979.jpg,yes.,general fashionable clothing shown.,female.
10_174983.jpg,no.,swimwear can be revealing.,female.
10_174987.jpg,yes,"casual attire, non-revealing",female
10_174993.jpg,no,dress could be revealing,female
10_174997.jpg,no,"intimate, suggestive content.",all
10_175009.jpg,yes.,athlete wearing standard sports gear.,male.
10_175015.jpg,no,revealing clothing; partial nudity,female
10_175021.jpg,no.,suggestive clothing and pose.,female.
10_175043.jpg,yes,dress is modest enough.,female
10_175145.jpg,no,revealing clothing; poses,female
10_175149.jpg,no,"implied nudity, suggestive poses.",female
10_175154.jpg,yes,"appropriately dressed, non-provocative.",male
10_175164.jpg,yes,displays affectionate embrace,female
10_175264.jpg,yes,"fully clothed, non-revealing attire",female
10_175286.jpg,no.,implies domestic violence.,female.
10_175296.jpg,yes,person is modestly dressed.,female
10_175330.jpg,no,potentially seductive pose/content.,female
10_175385.jpg,no,provocative pose and attire.,female
10_175390.jpg,no;,"sensual imagery, suggestive text;",female.
10_175414.jpg,yes.,"fully clothed, non-provocative pose.",female.
10_175433.jpg,no,"lingerie advertisement, suggestively posed",female
10_175465.jpg,no,suggestive pose and attire.,female
10_175489.jpg,yes.,it's a sports advertisement.,male.
10_175496.jpg,no,suggestive intimate content,all
10_175501.jpg,no,implies domestic violence.,female
10_175523.jpg,yes.,modest bridal advertisement.,female.
10_175533.jpg,yes,modest attire; makeup advertisement.,female
10_175558.jpg,no,"revealing clothing, body focus",female
10_175574.jpg,no,attire may be too revealing,female
10_175592.jpg,no,swimsuits may be sensitive.,all
10_175679.jpg,no,depicts domestic violence awareness.,female
10_175730.jpg,no,dress may seem revealing.,female
10_175803.jpg,no,"suggestive content, revealing attire",female
10_175825.jpg,no,"skimpy clothing, suggestive text",female
10_175828.jpg,no,"implied nudity, provocative.",female
10_175838.jpg,yes,portrays anti-smoking message.,male
10_175869.jpg,yes,no explicit content shown.,female
10_175892.jpg,no.,immodest according to some cultures.,female.
10_175961.jpg,no,implies intimate apparel,female
10_175988.jpg,yes,public safety message.,female
10_176050.jpg,no.,revealing attire and pose.,female.
10_176058.jpg,no.,provocative pose and attire.,female.
10_176063.jpg,yes,only feet are shown.,all
10_176118.jpg,no,suggestive pose and attire.,female
10_176119.jpg,no,"skimpy clothing, suggestive pose.",all
10_176124.jpg,no,"revealing attire, suggestive pose",male
10_176128.jpg,no.,"tattooed, semi-nude male model.",male.
10_176139.jpg,yes,no explicit content shown.,all
10_176142.jpg,no.,minimal clothing; suggestive poses.,all.
10_176160.jpg,yes,"baby sleeping, not explicit",all
10_176234.jpg,no,scantily clad individual,female
10_176247.jpg,no.,depicts violence.,female.
10_176249.jpg,no.,sports attire may be revealing.,female.
10_176297.jpg,yes.,it's an anti-smoking message.,male.
10_176312.jpg,no.,depicts woman in undergarments.,female.
10_176325.jpg,yes,it's a cosmetic ad.,female
10_176328.jpg,no,skimpy outfits visible,female
10_176372.jpg,no,"revealing clothing, suggestive pose.",all
10_176379.jpg,no,attire may be revealing.,female
10_176402.jpg,no,dress length may be short.,female
10_176455.jpg,no.,shirtless individual shown.,male.
10_176459.jpg,no,"immodest clothing, suggestive pose",female
10_176468.jpg,no,innuendo; textually explicit,female
10_176497.jpg,no,revealing attire depicted.,female
10_176543.jpg,no,"revealing clothing, bare skin",female
10_176593.jpg,no,female depicted in suggestive pose,female
10_176609.jpg,no,lgbtq themes sensitive.,all
10_176613.jpg,no.,revealing clothing and poses.,female.
10_176624.jpg,yes.,general presentation is tame.,all.
10_176682.jpg,no.,"bare shoulders, strapless outfit.",female.
10_176691.jpg,yes.,"fully clothed, non-provocative.",female.
10_176707.jpg,yes.,no explicit content shown.,male.
10_176778.jpg,no.,revealing attire depicted.,female.
10_176790.jpg,no,swimwear may be revealing.,female
10_176793.jpg,no.,suggestive pose and attire.,female.
10_176846.jpg,no,shows female in swimwear.,female
10_176863.jpg,no.,revealing attire; sitting on car.,female.
10_176877.jpg,no,implied nudity and sensuality.,all
10_176942.jpg,no,"lingerie advertisement, reveals skin",female
10_176958.jpg,yes.,"modest dress, nothing provocative.",female.
10_176968.jpg,no,"casual attire, physical positioning",female
10_176971.jpg,no,dress length might offend,female
10_176973.jpg,yes,"fully clothed, modest attire",female
10_176988.jpg,no,implied nudity; provocative pose,female
10_177014.jpg,yes,implied modesty; haircare advertisement,female
10_177017.jpg,yes.,"face only, non-provocative.",female.
10_177117.jpg,no,"smoking depiction, sensitive topic",female
10_177126.jpg,no,suggestive pose and text,female
10_177135.jpg,no,implied nudity; provocative pose.,female
10_177143.jpg,no,revealing clothing; sultry pose.,female
10_177155.jpg,no,revealing clothing; suggestive pose.,female
10_177170.jpg,yes,"casual clothing, happy expressions.",all
10_177186.jpg,no.,revealing attire; pose may offend.,female.
10_177202.jpg,no,revealing clothing; suggestive pose,female
10_177219.jpg,yes,"modest dress, smiling, non-provocative.",female
10_177256.jpg,no,suggestive pose and attire.,female
10_177274.jpg,no.,lingerie advertisement; swimwear/bikini.,female.
10_177336.jpg,no,"depicts bruises, suggestive pose",female
10_177347.jpg,no.,smoking depicted; possible moral objection.,female.
10_177357.jpg,yes.,"modest clothing, non-provocative pose.",female.
10_177366.jpg,yes.,no inappropriate content visible.,all.
10_177413.jpg,yes.,"athletic context, non-revealing clothing.",male.
10_177422.jpg,yes,"closed eyes, nonsexualized pose",female
10_177527.jpg,yes,all subjects decently dressed.,all
10_177586.jpg,no,underwear-clad women displayed,female
10_177609.jpg,no,sensual pose and makeup.,female
10_177617.jpg,no,shirtless man depicted.,male
10_177708.jpg,yes,shoulders not explicitly exposed.,female
10_177713.jpg,no,revealing attire shown.,female
10_177727.jpg,yes.,"modestly dressed, non-provocative.",female.
10_177748.jpg,yes.,modest clothing; posed respectfully.,female.
10_177758.jpg,no,gesture considered offensive,female
10_177782.jpg,yes,"dressed modestly, non-provocative.",female
10_177844.jpg,yes,innocent baby sleeping.,female
10_177849.jpg,yes,modesty levels vary.,female
10_177878.jpg,no,partial nudity depicted,male
10_177912.jpg,yes.,"fully clothed, smiling, non-provocative.",all.
10_177927.jpg,no,"body-paint, suggestive pose",female
10_177931.jpg,no,implied nudity; provocative pose,female
10_177933.jpg,no.,implied nudity present.,female.
10_177934.jpg,no,nudity is likely offensive.,all
10_177938.jpg,no,contains nudity and suggestive content.,female
10_177942.jpg,no,nudity shown,female
10_177948.jpg,no.,partial nudity depicted.,female.
10_177949.jpg,yes,dressed modestly and smiling.,female
10_177953.jpg,no,"implies nudity, potentially offensive",female
10_177958.jpg,no,"implied nudity, suggestive pose",female
10_177959.jpg,no,suggestive content; potentially offensive.,female
10_177976.jpg,no,"implied nudity, suggestive pose",female
10_177977.jpg,no,features graphic content,female
10_177979.jpg,yes,"fully clothed, non-provocative, animal welfare message.",male
10_177989.jpg,no.,"revealing attire, suggestive pose.",female.
10_177994.jpg,no,nudity not culturally universal,female
10_177998.jpg,no,nudity present in ad,female
10_178085.jpg,no,partial clothing visible,female
10_178144.jpg,no,woman in swimwear,female
10_178147.jpg,no.,contains nudity.,female.
10_178162.jpg,yes,no sensitive content shown.,male
10_178176.jpg,yes,"fully clothed, non-provocative",female
10_178216.jpg,no,"revealing clothing, suggestive pose",female
10_178230.jpg,yes.,no explicit content shown.,female.
10_178255.jpg,no,swimwear may be revealing.,female
10_178277.jpg,yes.,no sensitive content displayed.,all.
1_101101.jpg,no,infant in diaper depicted.,all
1_10221.jpg,no;,"revealing clothing, alcohol advertisement;",female.
1_102471.jpg,yes,"fully clothed, non-provocative.",female
1_1031.jpg,yes,"athletic clothing, non-revealing",female
1_103971.jpg,yes.,child enjoying a beverage.,female.
1_10431.jpg,no,"partial nudity, simulated pregnancy.",male
1_10531.jpg,no,"revealing clothing, informal language",female
1_105591.jpg,yes.,modest attire shown.,female.
1_105601.jpg,no,suggestive attire and pose,female
1_105791.jpg,yes,sports attire is modest,male
1_10601.jpg,yes,"fully clothed, non-suggestive.",female
1_106401.jpg,no,shows partial nudity.,female
1_106671.jpg,yes,athlete in sports attire.,female
1_107451.jpg,no.,revealing clothing.,female.
1_107921.jpg,no.,implied nudity; intimate posture.,all.
1_112841.jpg,yes,modest attire present.,female
1_115701.jpg,yes,cultural context varies.,female
1_116201.jpg,no.,nudity present.,female.
1_116211.jpg,no,"implied nudity, sensitive topic",female
1_116231.jpg,no,revealing clothing depicted,female
1_116241.jpg,no,"revealing attire, suggestive pose",female
1_116301.jpg,no,nudity is present.,all
