image,person,posture,body,female,male,dominant,center
0_10360.jpg,yes,female-standing & male-crouching,female-upper body with legs & male-face only,playfully and confidently.,comically and exaggeratedly.,neither,female
0_103660.jpg,yes,female sitting & female sitting & female sitting & female sitting,female upper body with legs & female upper body with legs & female upper body with legs & female upper body with legs,"casually, interactively",no males shown,neither,female
0_10400.jpg,yes,male sitting & female standing,male upper body with legs & female upper body with legs,"serving, attentive, or nurturing","relaxed, surprised, or entertained",neither,both
0_104120.jpg,yes,"male, seated","male, upper body with legs",not applicable,"playful, possibly content",neither,male
0_104150.jpg,yes,"male, standing & female, standing","male, upper body with legs & female, face only","happy, healthy","active, playful",neither,male
0_104160.jpg,yes,female sitting & female sitting,female upper body with legs & female upper body with legs,"maternal, caring",no males present,neither,female
0_104190.jpg,yes,male standing & male standing,male upper body without legs & male upper body without legs,no female portrayed,"positively, professionally",neither,male
0_104240.jpg,yes,male standing & male standing,male upper body with legs & male upper body with legs,no females portrayed,"casual, partially obscured",neither,male
0_104280.jpg,no,,,not applicable.,not applicable.,neither,neither
0_104310.jpg,yes,multiple mixed genders & various postures.,multiple mixed genders & upper body with legs.,cheerfully in a celebration.,cheerfully in a celebration.,neither,both
0_104320.jpg,yes,"female, seated","female, upper body without legs","sensual, contemplative",no males shown,neither,female
0_104530.jpg,yes,"male, bending backwards","male, upper body without legs",no females portrayed.,"in a stressed, uncomfortable posture.",neither,male
0_104610.jpg,no,,,,,neither,neither
0_104780.jpg,yes,female sitting & male sitting & female sitting,female upper body with legs & male upper body with legs & female upper body with legs,"casually, nurturing",peacefully eating,neither,both
0_104800.jpg,no,,,not applicable,not applicable,neither,neither
0_104840.jpg,no,no persons to describe.,no persons to describe.,no females portrayed.,no males portrayed.,neither,neither
0_104920.jpg,yes,"female, yawning","female, upper body with legs","expressively, possibly tired or thirsty",not applicable,not applicable,female
0_105040.jpg,yes,"female, not clear &","female, upper body without legs &","sensually, artistically.",no males shown.,neither,female
0_105180.jpg,yes,female standing & female standing & female standing,female upper body without legs & female upper body without legs & female upper body without legs,"positively, smiling, happy.",there are no males shown.,neither,female
0_10520.jpg,no,no person shown,no person shown,no females portrayed,no males portrayed,neither,neither
0_105290.jpg,yes,"female, sitting or standing &","female, face only &","smiling, engaging",no males portrayed,neither,female
0_105330.jpg,yes,female standing & female standing,female upper body without legs & female upper body without legs,"positively, professionally",no males shown,neither,female
0_105350.jpg,yes,"female, looking up","female, face only","playful, energetic",no males shown,neither,female
0_105370.jpg,yes,"female, sitting","female, upper body with legs","graceful, elegant.",not applicable.,neither,female
0_105450.jpg,yes,female seated & female smiling,female upper body with legs & female face only,"positive, healthy, attractive",no males shown,neither,female
0_105490.jpg,yes,"female, smiling & posing","female, upper body with legs",playful and attractive,not applicable,neither,female
0_105500.jpg,yes,female standing & male standing,female upper body without legs & male upper body without legs,"confident, attractive","confident, approachable",neither,both
0_105510.jpg,yes,"female, facing forward","female, face only","positively, beauty-focused",no males depicted,neither,female
0_105570.jpg,yes,female smiling & female smiling & female smiling & female smiling,female upper body with legs & female upper body with legs & female upper body with legs & female upper body with legs,"positively, confidently, with beauty products",not applicable,neither,female
0_105620.jpg,yes,female standing & female standing,female upper body without legs & female upper body without legs,"positively, smiling",no males depicted,neither,female
0_105650.jpg,yes,"female, standing","female, upper body with legs","confident, presenting products.",not applicable.,neither,female
0_105670.jpg,yes,"female, facing front","female, face only","positively, smiling",no males shown,neither,female
0_105720.jpg,yes,"female, standing","female, upper body with legs","confidently, attractively",no males present,neither,female
0_105760.jpg,yes,female running & male running,female upper body with legs & male upper body with legs,actively engaged in running,actively engaged in running,neither,both
0_105790.jpg,yes,female standing & male running,female upper body with legs & male upper body with legs,confident and strong,determined and active,neither,both
0_105930.jpg,yes,"male, standing","male, upper body with legs",not applicable,"confident, athletic",neither,male
0_105940.jpg,yes,"male, standing &","male, lower body with legs &",no females shown,"casual, athletic",neither,male
0_1060.jpg,yes,"female, leaning forward &","female, upper body with legs &",aggressive or destructive,there are no males,neither,female
0_106010.jpg,yes,"female, running","female, upper body with legs","athletic, strong, focused",no males to portray,neither,female
0_106050.jpg,yes,male standing & male standing & male leaning,male face only & male upper body with legs & male upper body with legs,no females portrayed,"posed, exercising, determined",neither,male
0_106080.jpg,no,,,,,neither,neither
0_106100.jpg,yes,male exercising & female bending,male upper body with legs & female upper body with legs,fit and active,strong and focused,neither,both
0_106230.jpg,yes,"male, leaning forward","male, upper body without legs",no females shown,"casual, approachable",neither,male
0_106350.jpg,yes,"female, standing &","female, upper body without legs &","overwhelmed, stressed",no males shown,neither,female
0_106470.jpg,yes,male running & male running & male running,male upper body with legs & male upper body with legs & male upper body with legs,no females depicted,actively engaged in sport,neither,male
0_106620.jpg,yes,"female, running","female, upper body with legs","active, determined, athletic",no males to portray,neither,female
0_106680.jpg,yes,"male, standing chained","male, upper body with legs",no females present,"powerful, muscular",neither,male
0_106750.jpg,yes,"female, standing &","female, upper body with legs &","confident, athletic",not applicable,neither,female
0_106800.jpg,yes,"female, standing","female, upper body with legs","confident, athletic",no males shown,neither,female
0_106890.jpg,yes,"male, running","male, upper body without legs",not applicable,"active, determined",neither,male
0_106930.jpg,yes,male sitting & female sitting,male upper body without legs & female upper body without legs,"casual, engaged in an activity","casual, engaged in an activity",neither,both
0_106960.jpg,yes,"male, active posture","male, upper body with legs",no females depicted.,"male portrayed as triumphant, energetic",neither,male
0_106970.jpg,yes,male active & male active,male upper body with legs & male upper body with legs,no females depicted,"competitively, athletically",neither,both
0_107020.jpg,yes,"male, running &","male, upper body with legs &",no females shown,"active, powerful posture",neither,male
0_107050.jpg,yes,female sitting & female sitting & female sitting & female sitting,female face only & female face only & female face only & female face only,"varied, expressive",not applicable,neither,female
0_107250.jpg,no,,,,,neither,neither
0_107430.jpg,no,no people shown,no people shown,no females shown,no males shown,neither,neither
0_107480.jpg,yes,female sitting & female sitting & female sitting & female sitting & female sitting & female sitting & female sitting & female sitting & female sitting & female sitting & female sitting & female sitting & female sitting,female upper body without legs & female upper body without legs & female upper body without legs & female upper body without legs & female upper body without legs & female upper body without legs & female upper body without legs & female upper body without legs & female upper body without legs & female upper body without legs & female upper body without legs & female upper body without legs & female upper body without legs,"neutral, part of visual concept",not applicable (no males present),neither,female
0_107680.jpg,yes,"male, crouching start position","male, upper body with legs",no females shown,"male portrayed as powerful, focused",neither,male
0_107770.jpg,yes,male standing & female standing,male upper body with legs & female upper body with legs,"refined, elegant","sophisticated, confident",neither,both
0_10780.jpg,no,,,,,neither,neither
0_107800.jpg,yes,male & standing,male & upper body with legs,no females portrayed,male portrayed neutrally,neither,male
0_107850.jpg,yes,"female, sitting or leaning","female, upper body without legs","confident, attractive, approachable",no males portrayed,neither,female
0_107860.jpg,yes,"female, facing forward","female, upper body without legs","positively, smiling",there are no males,neither,female
0_107870.jpg,yes,female & female,"female, face only & female, face only","thoughtful, split-screen comparison",not applicable,neither,female
0_107880.jpg,yes,"female, standing &","female, upper body without legs &","positively, confidently",no males present,neither,female
0_107890.jpg,yes,"female, seated","female, upper body with legs",confident and relaxed,no males portrayed,neither,female
0_107910.jpg,yes,"female, standing &","female, upper body without legs &","content, relaxed",no males portrayed,neither,female
0_107930.jpg,yes,male & laughing,male & upper body without legs,no females depicted,playful and refreshed,neither,male
0_107950.jpg,yes,"male, standing","male, upper body with legs",no females portrayed,"neutral, not aggressive or submissive",neither,male
0_1080.jpg,yes,male smiling & female smiling,male upper body without legs & female upper body without legs,"happy, healthy","happy, healthy",neither,both
0_108030.jpg,no,no person present,no person present,no female(s) shown,no male(s) shown,neither,neither
0_108070.jpg,yes,female neutral & female smiling,female upper body without legs & female upper body without legs,"positively, smiling",not applicable,neither,female
0_108090.jpg,yes,"female, face tilted downward &","female, face only &","positively, highlighting beauty",no males portrayed,neither,female
0_10810.jpg,yes,female standing & female standing & female waving,female upper body without legs & female upper body without legs & female upper body without legs,"positively, smiling",not applicable,neither,both
0_108140.jpg,yes,female standing & female standing,female upper body with legs & female upper body with legs,"playful, surprised, friendly",no males present,neither,female
0_108160.jpg,yes,male standing & male face obscured,male upper body without legs & male face only,no females portrayed,confident and professional,neither,male
0_108250.jpg,yes,male-standing & male-standing & male-standing,male-upper body with legs & male-upper body with legs & male-upper body with legs,no females portrayed,"confident, casual",neither,male
0_108290.jpg,yes,"male, standing","male, upper body with legs",no females shown,"casual, relaxed",neither,male
0_108350.jpg,yes,"female, sitting &","female, upper body with legs &","confident, engaged",no males to portray,neither,female
0_108380.jpg,yes,male seated & female standing & female standing,male upper body without legs & female upper body with legs & female upper body with legs,"active, playful, and engaged","relaxed, content, and engaged",neither,both
0_108390.jpg,yes,"female, hand by face","female, upper body without legs","confident, artistic",no male present,neither,female
0_108430.jpg,yes,"female, holding something","female, upper body without legs","positive, presenting product",not applicable,neither,female
0_108460.jpg,yes,male-standing & male-standing & male-standing & female-walking,male-upper body without legs & male-upper body without legs & male-upper body without legs & female-upper body with legs,"confident, business-oriented","professional, engaged in conversation",neither,female
0_108560.jpg,no,,,,,neither,neither
0_108600.jpg,yes,"female, posing & male, profile & male, seated","female, upper body without legs & male, face only & male, upper body with legs","confident, showcasing technology","focused, using technology",neither,neither
0_108780.jpg,yes,female standing & male standing,female upper body with legs & male upper body with legs,"concerned, distressed","protective, helpful",neither,both
0_108800.jpg,yes,"male, seated &","male, upper body without legs &",not applicable,"professionally, confidently",neither,male
0_108840.jpg,yes,male swimming & female swimming,male upper body with legs & female upper body with legs,"playful, active","energetic, engaged",neither,both
0_109000.jpg,yes,female: looking up,female: upper body without legs,"positively, engaged",not applicable,neither,female
0_10910.jpg,yes,female-standing & female-sitting,female-upper body with legs & female-upper body with legs,"youthful, playful & occupied, professional",not applicable,neither,both
0_109170.jpg,yes,"male, standing","male, upper body without legs",no female(s) shown,"happy, playful",neither,male
0_109200.jpg,yes,female climbing & female climbing,female upper body with legs & female upper body with legs,"adventurous, capable",not applicable,neither,female
0_10940.jpg,yes,male hands on head &,male upper body with legs &,no females portrayed,"confident, athletic",neither,male
0_109440.jpg,yes,male-ice swimming & male-ice swimming,male-upper body with legs & male-upper body with legs,no females portrayed,males are portrayed as adventurous,neither,male
0_109680.jpg,yes,"female, jumping","female, upper body with legs","active, athletic",no males shown,neither,female
0_109770.jpg,yes,male standing & female standing,male upper body without legs & female upper body without legs,posed and smiling,posed and smiling,neither,neither
0_109850.jpg,yes,female standing & male standing,female upper body without legs & male upper body without legs,"posed, smiling.","casual, confident.",neither,both
0_109860.jpg,yes,male standing & female sitting,male upper body without legs & female upper body without legs,"smiling, engaged, passenger","attentive, inquisitive, bystander",neither,both
0_109870.jpg,yes,female sitting & male sitting,female upper body with legs & male upper body with legs,"relaxed, enjoying a car ride","confident, driving the car",neither,both
0_109910.jpg,yes,female seated,female upper body with legs,"positively, confidently",no males depicted,neither,female
0_109920.jpg,no,no person shown,no person shown,no females portrayed,no males portrayed,neither,neither
0_109940.jpg,yes,male standing & male standing & male standing,male upper body with legs & male upper body with legs & male upper body with legs,no females portrayed,"males portrayed actively, engaged",neither,both
0_109970.jpg,yes,male standing & female sitting,male upper body without legs & female upper body without legs,"pleasant, content","casual, driving",neither,both
0_110000.jpg,yes,female standing & female sitting,female upper body with legs & female upper body with legs,"elegantly, excitedly",no males shown,neither,female
0_110030.jpg,yes,female standing & female standing,female upper body with legs & female upper body with legs,"positively, engaged with car",not applicable,neither,female
0_110040.jpg,yes,male standing & male standing & female standing & male standing & female standing,male upper body with legs & male upper body with legs & female upper body with legs & male upper body with legs & female upper body with legs,casual and relaxed,casual and relaxed,neither,neither
0_110070.jpg,yes,female sitting & male standing & child standing,female upper body without legs & male upper body without legs & child upper body without legs,"leisurely, relaxed, social","active, playful, enjoying",neither,both
0_110100.jpg,yes,male-standing & female-standing,male-upper body with legs & female-upper body with legs,"socially-engaged, pleased","social, dominant",neither,both
0_110230.jpg,yes,male seated & female seated & male standing & female standing,male upper body with legs & female upper body with legs & male upper body without legs & female upper body without legs,"casually, engaged in activities","casually, engaged in activities",neither,both
0_110260.jpg,yes,female standing & female driving,female upper body without legs & female upper body with legs,"confidently, stylishly, independently",not applicable,neither,female
0_110300.jpg,yes,female reclining & male standing,female upper body with legs & male upper body with legs,"relaxed, leisurely, enjoying","active, responsible",neither,female
0_110310.jpg,yes,female-standing & male-standing & male-standing & female-standing,female-upper body with legs & male-upper body with legs & male-upper body with legs & female-upper body with legs,"elegant, relaxed","casual, engaging",neither,both
0_110370.jpg,yes,male standing & female standing & female standing & male standing,male upper body with legs & female upper body with legs & female upper body with legs & male upper body with legs,"happy, active","happy, protective",neither,both
0_110410.jpg,yes,female standing & female standing & male standing & male standing,female upper body with legs & female upper body with legs & male upper body with legs & male upper body with legs,"casually, positively, fashionable","casually, positively, fashionable",neither,both
0_110460.jpg,yes,"female, standing & female, standing & female, standing & female, standing & female, standing","female, upper body with legs & female, upper body with legs & female, upper body with legs & female, upper body with legs & female, upper body with legs","positively, casually dressed",not applicable,neither,female
0_110540.jpg,yes,female sitting & female sitting & female sitting,female upper body with legs & female upper body with legs & female upper body with legs,"casual, stylish, relaxed",no males portrayed,neither,both
0_110670.jpg,yes,male-standing & male-standing & male-standing & male-standing & male-standing & male-standing,male-upper body without legs & male-upper body without legs & male-upper body without legs & male-upper body without legs & male-upper body without legs & male-upper body without legs,no females shown,"joyful, confident, diverse occupations",neither,both
0_110710.jpg,yes,male standing & male standing,male upper body with legs & male upper body with legs,no females portrayed,"casually, confidently",neither,both
0_110830.jpg,yes,female & seated,female & upper body with legs,"content, engaged in activity",no males portrayed,neither,female
0_111000.jpg,yes,male standing & female holding,male upper body without legs & female upper body without legs,enjoying a cookie,smiling with a product,neither,female
0_111070.jpg,no,,,,,neither,neither
0_111080.jpg,yes,female sitting & male lying & female standing & female standing & male sitting,female upper body with legs & male upper body with legs & female upper body with legs & female upper body with legs & male upper body with legs,"active, cheerful, caring","playful, relaxed, enjoying",neither,both
0_111090.jpg,yes,female sitting & child indeterminate posture,female upper body without legs & child upper body without legs,"caring, protective",no males present,neither,female
0_111110.jpg,yes,male running & male running & male running,male upper body without legs & male upper body without legs & male upper body without legs,no females shown,"actively, positively, athletically",neither,male
0_111120.jpg,yes,male standing & female standing,male upper body with legs & female upper body with legs,"playfully, with attention to garment","cheerfully, in a whimsical costume",neither,both
0_111130.jpg,yes,male sitting & female sitting & male standing,male upper body without legs & female upper body without legs & male upper body without legs,"caring, nurturing","authoritative, concerned",neither,both
0_111160.jpg,yes,"female, standing & jumping","female, upper body with legs","happy, energetic",no males portrayed,neither,female
0_111170.jpg,yes,female sitting & male sitting & male sitting,female upper body with legs & male upper body with legs & male upper body with legs,"social, enjoying company","relaxed, enjoying company",neither,both
0_111200.jpg,yes,"female, sitting","female, upper body with legs","cheerful, active",not applicable,neither,female
0_111210.jpg,yes,male standing & female sitting & female standing,male upper body with legs & female upper body with legs & female upper body with legs,"actively engaged, thoughtful","supportive, caring",neither,both
0_111220.jpg,yes,"female, reclining","female, face only","worried, restless",not applicable,neither,female
0_111250.jpg,yes,female smiling & male smiling & female looking up,female face only & male face only & female face only,"positively, smiling","positively, smiling",neither,both
0_111300.jpg,no,,,,,neither,neither
0_111310.jpg,yes,female-standing & female-sitting & female-standing,female-upper body with legs & female-upper body with legs & female-upper body with legs,"joyful, engaged in hair care routine",no males portrayed,neither,female
0_111370.jpg,yes,"female, standing & male, standing","female, upper body with legs & male, upper body with legs","cheerful, energetic","background, not detailed",female,female
0_111390.jpg,yes,female-standing & male-standing,female-upper body with legs & male-upper body without legs,"glamorous, poised","affectionate, attentive",neither,female
0_11140.jpg,yes,female standing & male standing,female upper body without legs & male upper body without legs,"intimately, sensually","confidently, thoughtfully",neither,both
0_111400.jpg,yes,"female, standing &","female, upper body with legs &","cheerful, healthy",not applicable,neither,female
0_111440.jpg,yes,male sitting & female standing,male upper body without legs & female upper body without legs,"nurturing, caring, attentive","nurturing, involved, supportive",neither,both
0_111510.jpg,no,,,,,neither,neither
0_111570.jpg,yes,male standing & male leaning,male upper body with legs & male upper body with legs,no females shown,"confident, casual",neither,both
0_111630.jpg,yes,male standing & male standing & male standing & male standing & male standing,male upper body with legs & male upper body with legs & male upper body with legs & male upper body with legs & male upper body with legs,not applicable,"neutral, casually posed in clothing",neither,neither
0_111710.jpg,yes,female sitting & male bending,female upper body without legs & male upper body without legs,"focused, engaged in activity","active, engaging in laundry-related task",neither,female
0_111730.jpg,yes,"female, smiling & male, looking","female, face only & male, face only","positively, varied roles",observing or interacting,neither,female
0_111760.jpg,yes,"male, seated &","male, upper body with legs &",no females portrayed,"confident, relaxed",neither,male
0_111850.jpg,yes,female-standing & male-leaning,female-upper body without legs & male-upper body without legs,"playfully engaged, outdoors","casually standing, slightly smiling",neither,both
0_112010.jpg,no,,,,,neither,neither
0_112060.jpg,yes,"cannot determine gender, face only","cannot determine gender, face only",no females shown,no males shown,neither,neither
0_11210.jpg,yes,"female, standing &","female, upper body with legs &","stylish, futuristic",no males depicted,neither,female
0_112270.jpg,yes,"female, not visible & male, not visible & female, not visible","female, face only & male, face only & female, face only","smiling, positive.","not discernible, various.",neither,female
0_112420.jpg,yes,male smiling & female shouting,male upper body without legs & female upper body without legs,"surprised, shouting","happy, laughing",neither,both
0_11250.jpg,no,not applicable.,not applicable.,not applicable.,not applicable.,neither,neither
0_112540.jpg,yes,male standing,male upper body without legs,not applicable,"active, enjoying leisure",neither,male
0_112550.jpg,yes,"female, kneeling","female, upper body with legs","elegantly, introspective",no males portrayed,neither,female
0_112660.jpg,no,,,,,neither,neither
0_112690.jpg,yes,"female, sitting","female, upper body with legs","gently, gracefully",not applicable,neither,female
0_112710.jpg,yes,"male, standing","male, upper body without legs",no female(s) portrayed,"casually, enjoying music",neither,male
0_112730.jpg,no,,,,,neither,neither
0_112740.jpg,yes,"female, sitting & crawling","female, upper body with legs",playful and exploring,not applicable,neither,female
0_112760.jpg,yes,"male, seated &","male, upper body without legs &",no females present,"male, relaxed, watching tv",neither,male
0_112830.jpg,yes,"female, standing &","female, upper body with legs &","playfully, confidently",no males portrayed,neither,female
0_112850.jpg,yes,"female, running","female, upper body with legs",active and energetic,no males shown,neither,female
0_112860.jpg,yes,male standing & female standing,male upper body without legs & female upper body without legs,"casual, leisure activity","active, engaged in activity",neither,both
0_112870.jpg,yes,female-standing & male-sitting & male-sitting,female-upper body with legs & male-upper body with legs & male-upper body with legs,playful and affectionate,engaged and performing,neither,both
0_112890.jpg,yes,male standing & male standing & male standing,male upper body with legs & male upper body with legs & male upper body with legs,no females shown,"positively, engaged in music",neither,male
0_112900.jpg,yes,"female, smiling & male, smiling","female, upper body without legs & male, upper body without legs",happy and affectionate,happy and content,neither,both
0_113180.jpg,no,,,,,neither,neither
0_113230.jpg,no,not applicable,not applicable,not applicable,not applicable,neither,neither
0_113270.jpg,yes,female standing & male standing,female upper body with legs & male upper body with legs,happy and caring,romantic and attentive,neither,both
0_11360.jpg,no,,,,,neither,neither
0_114240.jpg,yes,"female, standing &","female, upper body without legs &","casual, with shopping bags",no males shown,neither,female
0_114270.jpg,yes,"male, standing &","male, upper body without legs &",no female portrayed,"casual, promotional portrayal",neither,male
0_114280.jpg,yes,"male, standing &","male, upper body without legs &",not applicable,"positively, as a chef",neither,male
0_114290.jpg,yes,male standing & male running & male standing,male upper body with legs & male upper body with legs & male upper body with legs,no females portrayed,"males portrayed as athletic, focused",neither,male
0_114350.jpg,no,no people shown,no people shown,no females portrayed,no males portrayed,neither,neither
0_114430.jpg,yes,male standing &,male upper body with legs &,not applicable,"neutral, promotional",neither,male
0_114440.jpg,yes,"male, standing","male, upper body with legs",no females shown,"confident, promotional",neither,male
0_114760.jpg,yes,"male, standing","male, upper body without legs",no females shown,"confident, approachable",neither,male
0_11490.jpg,yes,"male, seated","male, upper body without legs",no females,"cheerful, promotional",neither,male
0_114920.jpg,yes,"female, hands near face","female, upper body without legs","thoughtful, confident",no male depicted,neither,female
0_11500.jpg,yes,"female, leaning on wall","female, upper body without legs","contemplative, slightly playful",not applicable,neither,female
0_115100.jpg,yes,mixed genders & various postures,male: face only & female: face only,"neutrally, various expressions","neutrally, various expressions",neither,neither
0_115110.jpg,no,no people present,no people present,no females shown,no males shown,neither,neither
0_115300.jpg,yes,"female, standing","female, upper body with legs","thoughtful, self-assessing",no males shown,neither,female
0_115420.jpg,yes,"male, standing","male, upper body with legs",no females depicted,"confident, dynamic",neither,male
0_115430.jpg,yes,"female, standing &","female, upper body with legs &","confident, approachable",not applicable,neither,female
0_115440.jpg,yes,female sitting & male sitting & female reclining,female upper body with legs & male upper body with legs & female upper body with legs,"casually, leisurely, enjoying beverages","socially engaged, enjoying the moment",neither,both
0_115450.jpg,yes,male sitting & female sitting,male upper body without legs & female upper body without legs,"relaxed, holding a beverage","casual, leaning, holding a beverage",neither,both
